Seconds (synced)	Acc x	Acc y	Acc z
3.000817	85.628906	-69.539062	983.320312
3.008806	85.832031	-69.390625	983.335938
3.016795	85.796875	-69.617188	983.285156
3.024784	85.855469	-69.636719	983.347656
3.032773	85.652344	-69.695312	983.398438
3.040762	85.828125	-69.574219	983.214844
3.048751	85.625	-69.609375	983.464844
3.05674	85.753906	-69.730469	983.367188
3.064729	85.894531	-69.421875	983.660156
3.072718	85.785156	-69.582031	983.5625
3.080707	85.839844	-69.597656	983.265625
3.088696	85.742188	-69.710938	983.421875
3.096685	85.671875	-69.566406	983.496094
3.104674	85.761719	-69.589844	983.328125
3.112663	85.914062	-69.59375	983.496094
3.120652	85.789062	-69.617188	983.304688
3.128641	85.914062	-69.675781	983.566406
3.13663	86.035156	-69.691406	983.410156
3.144619	85.964844	-69.625	983.65625
3.152608	85.632812	-69.621094	983.511719
3.160597	85.835938	-69.652344	983.316406
3.168586	85.871094	-69.527344	983.457031
3.176575	85.835938	-69.46875	983.730469
3.184564	85.871094	-69.488281	983.503906
3.192553	85.847656	-69.472656	983.472656
3.200542	86.027344	-69.386719	983.515625
3.208531	85.890625	-69.472656	983.363281
3.21652	85.75	-69.640625	983.644531
3.224509	85.796875	-69.726562	983.726562
3.232498	85.726562	-69.550781	983.359375
3.240487	85.945312	-69.664062	983.316406
3.248476	85.796875	-69.449219	983.449219
3.256465	85.792969	-69.425781	983.53125
3.264454	85.816406	-69.429688	983.542969
3.272443	85.707031	-69.507812	983.332031
3.280432	85.804688	-69.582031	983.367188
3.288421	85.816406	-69.453125	983.507812
3.29641	85.769531	-69.453125	983.410156
3.304399	85.785156	-69.464844	983.453125
3.312388	85.84375	-69.539062	983.574219
3.320377	85.839844	-69.484375	983.710938
3.328366	85.867188	-69.730469	983.558594
3.336355	85.753906	-69.511719	983.640625
3.344344	85.683594	-69.660156	983.46875
3.352333	85.699219	-69.46875	983.617188
3.360322	85.703125	-69.554688	983.367188
3.368311	85.820312	-69.550781	983.554688
3.3763	85.929688	-69.375	983.816406
3.384289	85.824219	-69.5	983.824219
3.392278	85.867188	-69.613281	983.703125
3.400267	85.65625	-69.535156	983.460938
3.408256	85.726562	-69.558594	983.453125
3.416245	85.804688	-69.582031	983.605469
3.424234	85.792969	-69.410156	983.546875
3.432223	85.871094	-69.59375	983.402344
3.440212	85.886719	-69.625	983.207031
3.448201	85.824219	-69.710938	983.289062
3.45619	85.679688	-69.664062	983.433594
3.464179	85.847656	-69.5	983.460938
3.472168	85.898438	-69.519531	983.5625
3.480157	85.847656	-69.582031	983.558594
3.488146	85.691406	-69.761719	983.628906
3.496135	85.785156	-69.539062	983.644531
3.504124	85.835938	-69.554688	983.449219
3.512113	86.085938	-69.628906	983.726562
3.520102	85.796875	-69.597656	983.601562
3.528091	85.753906	-69.535156	983.726562
3.53608	85.730469	-69.53125	983.550781
3.544069	85.804688	-69.433594	983.59375
3.552058	85.824219	-69.492188	983.378906
3.560047	85.878906	-69.566406	983.445312
3.568036	85.769531	-69.578125	983.449219
3.576025	85.816406	-69.4375	983.617188
3.584014	85.808594	-69.527344	983.773438
3.592003	85.898438	-69.480469	983.539062
3.599992	85.84375	-69.496094	983.710938
3.607981	85.8125	-69.566406	983.429688
3.61597	85.9375	-69.617188	983.472656
3.623959	85.867188	-69.433594	983.402344
3.631948	85.90625	-69.511719	983.617188
3.639937	85.890625	-69.59375	983.550781
3.647926	85.796875	-69.578125	983.78125
3.655915	85.851562	-69.488281	983.644531
3.663904	85.765625	-69.570312	983.726562
3.671893	85.882812	-69.632812	983.785156
3.679882	85.753906	-69.59375	983.488281
3.687871	85.957031	-69.71875	983.476562
3.69586	85.917969	-69.496094	983.535156
3.703849	85.769531	-69.621094	983.398438
3.711838	85.914062	-69.632812	983.3125
3.719827	85.808594	-69.453125	983.855469
3.727816	85.894531	-69.578125	983.660156
3.735805	85.972656	-69.480469	983.578125
3.743794	85.878906	-69.5	983.53125
3.751783	85.929688	-69.554688	983.335938
3.759772	85.914062	-69.539062	983.378906
3.767761	85.847656	-69.648438	983.722656
3.77575	85.796875	-69.597656	983.832031
3.783739	85.988281	-69.492188	983.617188
3.791728	85.984375	-69.621094	983.464844
3.799717	85.8125	-69.59375	983.710938
3.807706	85.898438	-69.53125	983.707031
3.815695	85.792969	-69.464844	983.507812
3.823684	85.878906	-69.550781	983.613281
3.831673	85.734375	-69.589844	983.496094
3.839662	85.902344	-69.710938	983.5
3.847651	85.792969	-69.570312	983.695312
3.85564	85.726562	-69.539062	983.898438
