Seconds (synced)	Acc x	Acc y	Acc z
1.997367	52.9375	-7.496094	998.628906
2.005308	52.804688	-7.472656	998.347656
2.013249	52.992188	-7.636719	998.410156
2.02119	52.769531	-7.589844	998.4375
2.029131	52.910156	-7.488281	998.492188
2.037072	52.777344	-7.621094	998.480469
2.045013	52.855469	-7.589844	998.363281
2.052954	52.71875	-7.386719	998.136719
2.060895	52.917969	-7.425781	998.441406
2.068836	52.945312	-7.472656	998.402344
2.076777	52.855469	-7.585938	998.25
2.084718	52.75	-7.679688	998.453125
2.092659	52.710938	-7.5	998.867188
2.1006	52.949219	-7.628906	998.855469
2.108541	52.914062	-7.734375	998.445312
2.116482	52.996094	-7.859375	998.484375
2.124423	52.699219	-7.804688	998.882812
2.132364	52.898438	-7.761719	998.808594
2.140305	52.894531	-7.730469	998.953125
2.148246	52.796875	-7.574219	998.855469
2.156187	52.863281	-7.550781	998.871094
2.164128	52.785156	-7.648438	998.574219
2.172069	52.839844	-7.78125	998.691406
2.18001	52.890625	-7.585938	999.105469
2.187951	52.730469	-7.613281	999.023438
2.195892	52.828125	-7.660156	998.9375
2.203833	52.804688	-7.667969	998.550781
2.211774	52.617188	-7.5625	998.621094
2.219715	52.671875	-7.660156	998.980469
2.227656	52.804688	-7.65625	998.703125
2.235597	52.808594	-7.441406	998.863281
2.243538	52.886719	-7.523438	998.808594
2.251479	52.921875	-7.453125	998.695312
2.25942	52.894531	-7.582031	998.984375
2.267361	52.816406	-7.597656	998.988281
2.275302	52.777344	-7.523438	998.667969
2.283243	52.902344	-7.710938	998.683594
2.291184	52.792969	-7.683594	998.558594
2.299125	52.777344	-7.507812	998.53125
2.307066	52.820312	-7.511719	998.601562
2.315007	52.835938	-7.550781	998.710938
2.322948	52.777344	-7.519531	998.363281
2.330889	52.789062	-7.582031	998.261719
2.33883	52.917969	-7.539062	998.402344
2.346771	52.988281	-7.414062	998.363281
2.354712	53.023438	-7.640625	998.730469
2.362653	52.960938	-7.4375	998.582031
2.370594	52.84375	-7.472656	998.589844
2.378535	52.699219	-7.503906	998.613281
2.386476	52.761719	-7.609375	998.785156
2.394417	52.808594	-7.710938	999.171875
2.402358	52.964844	-7.359375	998.867188
2.410299	52.910156	-7.648438	998.792969
2.41824	52.859375	-7.652344	998.457031
2.426181	52.90625	-7.464844	998.699219
2.434122	52.886719	-7.417969	998.816406
2.442063	52.78125	-7.453125	998.875
2.450004	52.671875	-7.558594	999.171875
2.457945	52.644531	-7.671875	998.675781
2.465886	52.835938	-7.617188	998.679688
2.473827	52.703125	-7.632812	998.765625
2.481768	52.757812	-7.679688	998.761719
2.489709	52.765625	-7.683594	998.53125
2.49765	52.773438	-7.75	998.679688
2.505591	52.703125	-7.65625	998.820312
2.513532	52.773438	-7.542969	998.859375
2.521473	52.777344	-7.644531	999.0625
2.529414	52.832031	-7.828125	998.859375
2.537355	52.664062	-7.710938	999.007812
2.545296	52.640625	-7.703125	999.25
2.553237	52.828125	-7.46875	998.839844
2.561178	52.898438	-7.617188	998.761719
2.569119	52.941406	-7.609375	998.566406
2.57706	52.90625	-7.714844	998.5625
2.585001	52.898438	-7.558594	998.425781
2.592942	52.828125	-7.683594	998.578125
2.600883	52.820312	-7.742188	998.339844
2.608824	52.722656	-7.503906	998.347656
2.616765	52.761719	-7.429688	998.761719
2.624706	52.957031	-7.433594	998.777344
2.632647	52.855469	-7.441406	998.832031
2.640588	52.816406	-7.722656	998.613281
2.648529	52.738281	-7.734375	998.757812
2.65647	52.753906	-7.449219	998.777344
2.664411	52.839844	-7.582031	999.058594
2.672352	52.871094	-7.542969	998.679688
2.680293	52.882812	-7.585938	998.789062
2.688234	52.773438	-7.59375	999.160156
2.696175	52.863281	-7.4375	998.933594
