Seconds (synced)	Acc x	Acc y	Acc z
6.108131	-71.222656	-41.238281	1008.808594
6.11615	-71.136719	-41.234375	1008.867187
6.124169	-71.132812	-41.449219	1008.660156
6.132188	-71.292969	-41.316406	1008.84375
6.140207	-71.160156	-41.371094	1009.046875
6.148226	-71.195312	-41.234375	1008.714844
6.156245	-71.257812	-41.003906	1008.695312
6.164264	-71.359375	-41.242188	1008.527344
6.172283	-71.328125	-41.21875	1008.699219
6.180302	-71.136719	-41.371094	1008.667969
6.188321	-71.160156	-41.21875	1008.769531
6.19634	-71.347656	-41.378906	1008.644531
6.204359	-71.265625	-40.996094	1008.640625
6.212378	-71.296875	-41.117188	1009.0625
6.220397	-71.355469	-41.265625	1009.164062
6.228416	-71.300781	-41.125	1008.96875
6.236435	-71.15625	-41.25	1009.183594
6.244454	-71.242188	-41.308594	1009.042969
6.252473	-71.316406	-41.148438	1009.179688
6.260492	-71.351562	-41.273438	1009.285156
6.268511	-71.304688	-41.292969	1009.328125
6.27653	-71.335938	-41.109375	1009.28125
6.284549	-71.207031	-41.167969	1009.089844
6.292568	-71.199219	-41.277344	1009.082031
6.300587	-71.242188	-41.023438	1009.152344
6.308606	-71.296875	-41.199219	1009.074219
6.316625	-71.117188	-41.121094	1008.957031
6.324644	-71.265625	-41.136719	1008.890625
6.332663	-71.1875	-41.121094	1009.015625
6.340682	-71.183594	-41.179688	1008.824219
6.348701	-71.363281	-41.117188	1008.660156
6.35672	-71.210938	-41.15625	1008.882812
6.364739	-71.117188	-41.261719	1008.8125
6.372758	-71.1875	-41.386719	1008.90625
6.380777	-71.226562	-41.292969	1008.957031
6.388796	-71.28125	-41.207031	1009.0
6.396815	-71.273438	-41.265625	1008.820312
6.404834	-71.179688	-41.347656	1008.902344
6.412853	-71.164062	-41.339844	1008.886719
6.420872	-71.273438	-41.253906	1009.035156
6.428891	-71.25	-41.144531	1008.890625
6.43691	-71.152344	-41.160156	1008.644531
6.444929	-71.253906	-41.128906	1008.730469
6.452948	-71.277344	-41.179688	1008.617188
6.460967	-71.378906	-41.320312	1008.703125
6.468986	-71.089844	-41.402344	1008.617188
6.477005	-71.296875	-41.332031	1008.46875
6.485024	-71.367188	-41.300781	1008.574219
6.493043	-71.21875	-41.320312	1008.652344
6.501062	-71.367188	-41.390625	1008.519531
6.509081	-71.292969	-41.527344	1008.929688
6.5171	-71.117188	-41.464844	1008.894531
6.525119	-71.21875	-41.3125	1008.882812
6.533138	-71.207031	-41.214844	1008.855469
6.541157	-71.289062	-41.335938	1008.960937
6.549176	-71.367188	-41.515625	1009.0
6.557195	-71.257812	-41.582031	1009.03125
6.565214	-71.144531	-41.421875	1008.910156
6.573233	-71.261719	-41.410156	1008.976562
6.581252	-71.175781	-41.257812	1008.734375
6.589271	-71.234375	-41.167969	1008.480469
6.59729	-71.25	-41.242188	1008.671875
6.605309	-71.289062	-41.148438	1008.796875
6.613328	-71.40625	-41.28125	1008.839844
6.621347	-71.253906	-41.238281	1008.894531
6.629366	-71.222656	-41.09375	1008.917969
6.637385	-71.238281	-41.199219	1008.972656
6.645404	-71.269531	-41.082031	1009.054687
6.653423	-71.261719	-41.113281	1009.257812
6.661442	-71.328125	-41.058594	1009.109375
6.669461	-71.222656	-41.199219	1009.152344
6.67748	-71.089844	-41.226562	1009.085938
6.685499	-71.25	-41.179688	1009.054687
6.693518	-71.285156	-41.21875	1008.972656
6.701537	-71.332031	-41.167969	1009.039063
6.709556	-71.121094	-41.054688	1008.792969
6.717575	-71.128906	-41.234375	1009.074219
6.725594	-71.3125	-41.234375	1008.644531
6.733613	-71.183594	-41.273438	1008.8125
