Seconds (synced)	Acc x	Acc y	Acc z
5.9994	-76.132812	-5.5625	1001.035156
6.007375	-76.144531	-5.539062	1001.160156
6.01535	-76.386719	-5.679688	1001.082031
6.023325	-76.34375	-5.761719	1000.992188
6.0313	-76.328125	-5.734375	1001.023438
6.039275	-76.230469	-5.796875	1001.289062
6.04725	-76.257812	-5.78125	1001.480469
6.055225	-76.171875	-5.910156	1001.15625
6.0632	-76.277344	-5.808594	1001.101562
6.071175	-76.398438	-5.714844	1001.089844
6.07915	-76.277344	-5.691406	1001.066406
6.087125	-76.183594	-5.695312	1001.074219
6.0951	-76.277344	-5.796875	1001.308594
6.103075	-76.308594	-5.796875	1001.183594
6.11105	-76.363281	-5.667969	1001.367188
6.119025	-76.207031	-5.550781	1001.226563
6.127	-76.660156	-5.636719	1001.449219
6.134975	-76.480469	-5.867188	1001.261719
6.14295	-76.40625	-5.839844	1001.285156
6.150925	-76.207031	-5.578125	1001.027344
6.1589	-76.339844	-5.730469	1001.074219
6.166875	-76.28125	-5.671875	1001.316406
6.17485	-76.230469	-5.710938	1001.304688
6.182825	-76.363281	-5.699219	1001.105469
6.1908	-76.179688	-5.589844	1001.101562
6.198775	-76.136719	-5.703125	1001.285156
6.20675	-76.328125	-5.570312	1001.355469
6.214725	-76.3125	-5.671875	1001.332031
6.2227	-76.257812	-5.710938	1001.355469
6.230675	-76.214844	-5.714844	1001.238281
6.23865	-76.257812	-5.824219	1001.460938
6.246625	-76.410156	-5.757812	1001.671875
6.2546	-76.144531	-5.546875	1001.308594
6.262575	-76.210938	-5.761719	1001.378906
6.27055	-76.300781	-5.742188	1001.339844
6.278525	-76.351562	-5.675781	1001.382812
6.2865	-76.265625	-5.597656	1001.441406
6.294475	-76.269531	-5.511719	1001.375
6.30245	-76.472656	-5.480469	1001.558594
6.310425	-76.296875	-5.542969	1001.589844
6.3184	-76.257812	-5.636719	1001.300781
6.326375	-76.347656	-5.640625	1001.507813
6.33435	-76.066406	-5.632812	1001.417969
6.342325	-76.210938	-5.375	1001.472656
6.3503	-76.300781	-5.714844	1001.441406
6.358275	-76.144531	-5.675781	1001.460938
6.36625	-76.207031	-5.65625	1001.367188
6.374225	-76.207031	-5.558594	1001.769531
6.3822	-76.335938	-5.449219	1001.621094
6.390175	-76.316406	-5.40625	1001.347656
6.39815	-76.210938	-5.660156	1001.394531
6.406125	-76.207031	-5.695312	1001.355469
6.4141	-76.371094	-5.707031	1001.191406
6.422075	-76.355469	-5.582031	1001.351562
6.43005	-76.378906	-5.664062	1001.292969
6.438025	-76.230469	-5.722656	1001.222656
6.446	-76.242188	-5.628906	1001.121094
6.453975	-76.363281	-5.726562	1000.917969
6.46195	-76.296875	-5.800781	1001.113281
6.469925	-76.316406	-5.824219	1001.125
6.4779	-76.253906	-5.925781	1001.054687
6.485875	-76.273438	-5.753906	1000.945313
6.49385	-76.320312	-5.644531	1001.097656
6.501825	-76.34375	-5.714844	1001.335937
6.5098	-76.191406	-5.730469	1001.386719
6.517775	-76.183594	-5.847656	1001.539062
6.52575	-76.289062	-5.621094	1001.566406
6.533725	-76.34375	-5.671875	1001.746094
6.5417	-76.234375	-5.847656	1001.519531
6.549675	-76.207031	-5.785156	1001.460938
6.55765	-76.191406	-5.828125	1001.375
6.565625	-76.214844	-5.753906	1001.382812
6.5736	-76.28125	-5.792969	1001.160156
6.581575	-76.230469	-5.648438	1001.160156
6.58955	-76.363281	-5.675781	1001.398438
6.597525	-76.226562	-5.640625	1001.257812
6.6055	-76.15625	-5.539062	1001.230469
6.613475	-76.324219	-5.550781	1001.277344
6.62145	-76.222656	-5.390625	1001.347656
6.629425	-76.257812	-5.628906	1001.441406
6.6374	-76.367188	-5.617188	1001.59375
6.645375	-76.144531	-5.652344	1001.648438
6.65335	-76.226562	-5.394531	1001.683594
6.661325	-76.207031	-5.421875	1001.664062
