Seconds (synced)	Acc x	Acc y	Acc z
6.0018	-63.816406	13.554688	1014.625
6.009822	-63.878906	13.695312	1014.652344
6.017844	-63.941406	13.691406	1014.445312
6.025866	-63.882812	13.5625	1014.597656
6.033888	-63.8125	13.449219	1014.621094
6.04191	-63.796875	13.566406	1014.414062
6.049932	-63.683594	13.535156	1014.570313
6.057954	-63.777344	13.53125	1014.4375
6.065976	-63.90625	13.503906	1014.558594
6.073998	-63.808594	13.558594	1014.707031
6.08202	-63.902344	13.457031	1014.621094
6.090042	-63.972656	13.429688	1014.828125
6.098064	-63.851562	13.457031	1014.617188
6.106086	-63.847656	13.507812	1014.546875
6.114108	-63.804688	13.5625	1014.558594
6.12213	-63.929688	13.609375	1014.492187
6.130152	-63.847656	13.5625	1014.476563
6.138174	-63.925781	13.570312	1014.449219
6.146196	-63.761719	13.351562	1014.421875
6.154218	-63.824219	13.363281	1014.359375
6.16224	-63.832031	13.5	1014.207031
6.170262	-63.851562	13.527344	1014.71875
6.178284	-63.941406	13.441406	1014.605469
6.186306	-63.921875	13.582031	1014.550781
6.194328	-63.746094	13.671875	1014.609375
6.20235	-63.816406	13.515625	1014.617188
6.210372	-63.890625	13.523438	1014.503906
6.218394	-63.757812	13.515625	1014.472656
6.226416	-63.898438	13.613281	1014.644531
6.234438	-63.828125	13.640625	1014.492187
6.24246	-63.914062	13.542969	1014.535156
6.250482	-63.882812	13.5	1014.804688
6.258504	-63.9375	13.609375	1014.6875
6.266526	-63.894531	13.515625	1014.648438
6.274548	-63.769531	13.53125	1014.707031
6.28257	-63.9375	13.730469	1014.257812
6.290592	-63.847656	13.761719	1014.453125
6.298614	-63.910156	13.636719	1014.546875
6.306636	-63.859375	13.734375	1014.59375
6.314658	-63.871094	13.863281	1014.671875
6.32268	-63.894531	13.574219	1014.519531
6.330702	-63.78125	13.566406	1014.554688
6.338724	-63.800781	13.488281	1014.726562
6.346746	-63.644531	13.652344	1014.648438
6.354768	-63.894531	13.636719	1014.632812
6.36279	-63.792969	13.699219	1014.777344
6.370812	-63.882812	13.667969	1014.8125
6.378834	-63.792969	13.660156	1014.769531
6.386856	-63.828125	13.75	1014.523438
6.394878	-63.785156	13.597656	1014.570313
6.4029	-63.816406	13.582031	1014.628906
6.410922	-63.855469	13.472656	1014.914062
6.418944	-63.746094	13.472656	1014.785156
6.426966	-63.878906	13.441406	1014.546875
6.434988	-63.800781	13.570312	1014.390625
6.44301	-63.789062	13.445312	1014.171875
6.451032	-63.875	13.523438	1014.644531
6.459054	-63.890625	13.550781	1014.914062
6.467076	-63.871094	13.445312	1014.660156
6.475098	-63.789062	13.519531	1014.566406
6.48312	-63.9375	13.355469	1014.667969
6.491142	-63.644531	13.484375	1014.699219
6.499164	-63.78125	13.5	1014.492187
6.507186	-63.925781	13.375	1014.480469
6.515208	-63.890625	13.386719	1014.523438
6.52323	-63.949219	13.367188	1014.738281
6.531252	-64.039062	13.363281	1014.738281
6.539274	-63.894531	13.496094	1014.414062
6.547296	-63.898438	13.496094	1014.621094
6.555318	-63.863281	13.675781	1014.433594
6.56334	-63.863281	13.722656	1014.542969
6.571362	-63.859375	13.464844	1014.535156
6.579384	-63.839844	13.386719	1014.347656
