Date	Time	Seconds (zeroed)	Seconds (synced)	Acc x	Acc y	Acc z
23/10/2024	13:29:25.544733	0.000000	0.000000	 55.429688	-18.812500	1014.332031
23/10/2024	13:29:25.552721	0.007988	0.007988	 55.320312	-18.816406	1014.281250
23/10/2024	13:29:25.560709	0.015976	0.015976	 55.437500	-18.812500	1014.390625
23/10/2024	13:29:25.568697	0.023964	0.023964	 55.472656	-18.777344	1014.636719
23/10/2024	13:29:25.576685	0.031952	0.031952	 55.429688	-18.609375	1014.492187
23/10/2024	13:29:25.584673	0.039940	0.039940	 55.398438	-18.769531	1014.421875
23/10/2024	13:29:25.592661	0.047928	0.047928	 55.507812	-18.828125	1014.609375
23/10/2024	13:29:25.600649	0.055916	0.055916	 55.375000	-18.859375	1014.519531
23/10/2024	13:29:25.608637	0.063904	0.063904	 55.191406	-18.832031	1014.417969
23/10/2024	13:29:25.616625	0.071892	0.071892	 55.480469	-18.898438	1014.570313
23/10/2024	13:29:25.624613	0.079880	0.079880	 55.531250	-19.007812	1014.453125
23/10/2024	13:29:25.632601	0.087868	0.087868	 55.589844	-18.683594	1014.496094
23/10/2024	13:29:25.640589	0.095856	0.095856	 55.484375	-18.722656	1014.644531
23/10/2024	13:29:25.648577	0.103844	0.103844	 55.390625	-18.722656	1014.710938
23/10/2024	13:29:25.656565	0.111832	0.111832	 55.437500	-18.773438	1014.511719
23/10/2024	13:29:25.664553	0.119820	0.119820	 55.500000	-18.687500	1014.605469
23/10/2024	13:29:25.672541	0.127808	0.127808	 55.429688	-18.886719	1014.542969
23/10/2024	13:29:25.680529	0.135796	0.135796	 55.355469	-18.921875	1014.796875
23/10/2024	13:29:25.688517	0.143784	0.143784	 55.378906	-18.750000	1014.378906
23/10/2024	13:29:25.696505	0.151772	0.151772	 55.433594	-18.769531	1014.449219
23/10/2024	13:29:25.704493	0.159760	0.159760	 55.390625	-18.875000	1014.597656
23/10/2024	13:29:25.712481	0.167748	0.167748	 55.457031	-18.851562	1014.652344
23/10/2024	13:29:25.720469	0.175736	0.175736	 55.480469	-18.746094	1014.921875
23/10/2024	13:29:25.728457	0.183724	0.183724	 55.335938	-18.667969	1014.585937
23/10/2024	13:29:25.736445	0.191712	0.191712	 55.273438	-18.949219	1014.449219
23/10/2024	13:29:25.744433	0.199700	0.199700	 55.375000	-18.875000	1014.480469
23/10/2024	13:29:25.752421	0.207688	0.207688	 55.578125	-18.921875	1014.773437
23/10/2024	13:29:25.760409	0.215676	0.215676	 55.503906	-18.839844	1014.746094
23/10/2024	13:29:25.768397	0.223664	0.223664	 55.625000	-18.781250	1014.679687
23/10/2024	13:29:25.776385	0.231652	0.231652	 55.421875	-18.792969	1014.660156
23/10/2024	13:29:25.784373	0.239640	0.239640	 55.523438	-18.769531	1014.660156
23/10/2024	13:29:25.792361	0.247628	0.247628	 55.523438	-18.726562	1014.660156
23/10/2024	13:29:25.800349	0.255616	0.255616	 55.593750	-18.847656	1014.531250
23/10/2024	13:29:25.808337	0.263604	0.263604	 55.359375	-18.738281	1014.585937
23/10/2024	13:29:25.816325	0.271592	0.271592	 55.359375	-18.984375	1014.589844
23/10/2024	13:29:25.824313	0.279580	0.279580	 55.257812	-18.925781	1014.570313
23/10/2024	13:29:25.832301	0.287568	0.287568	 55.406250	-18.871094	1014.707031
23/10/2024	13:29:25.840289	0.295556	0.295556	 55.328125	-18.949219	1014.562500
23/10/2024	13:29:25.848277	0.303544	0.303544	 55.402344	-18.804688	1014.480469
23/10/2024	13:29:25.856265	0.311532	0.311532	 55.519531	-18.726562	1014.761719
23/10/2024	13:29:25.864253	0.319520	0.319520	 55.406250	-18.769531	1014.496094
23/10/2024	13:29:25.872241	0.327508	0.327508	 55.328125	-18.781250	1014.718750
23/10/2024	13:29:25.880229	0.335496	0.335496	 55.503906	-18.929688	1014.539062
23/10/2024	13:29:25.888217	0.343484	0.343484	 55.343750	-18.886719	1014.597656
23/10/2024	13:29:25.896205	0.351472	0.351472	 55.218750	-18.750000	1014.671875
23/10/2024	13:29:25.904193	0.359460	0.359460	 55.582031	-18.730469	1014.878906
23/10/2024	13:29:25.912181	0.367448	0.367448	 55.492188	-18.890625	1014.664063
23/10/2024	13:29:25.920169	0.375436	0.375436	 55.503906	-18.769531	1014.667969
23/10/2024	13:29:25.928157	0.383424	0.383424	 55.476562	-18.742188	1014.683594
23/10/2024	13:29:25.936145	0.391412	0.391412	 55.320312	-18.828125	1014.656250
23/10/2024	13:29:25.944133	0.399400	0.399400	 55.312500	-18.824219	1014.648438
23/10/2024	13:29:25.952121	0.407388	0.407388	 55.253906	-18.820312	1014.566406
23/10/2024	13:29:25.960109	0.415376	0.415376	 55.464844	-18.738281	1014.714844
23/10/2024	13:29:25.968097	0.423364	0.423364	 55.425781	-18.871094	1014.562500
23/10/2024	13:29:25.976085	0.431352	0.431352	 55.476562	-18.828125	1014.753906
23/10/2024	13:29:25.984073	0.439340	0.439340	 55.417969	-18.687500	1014.808594
23/10/2024	13:29:25.992061	0.447328	0.447328	 55.375000	-18.765625	1014.648438
23/10/2024	13:29:26.000049	0.455316	0.455316	 55.355469	-18.710938	1014.765625
23/10/2024	13:29:26.008037	0.463304	0.463304	 55.328125	-18.707031	1014.816406
23/10/2024	13:29:26.016025	0.471292	0.471292	 55.414062	-18.820312	1014.683594
23/10/2024	13:29:26.024013	0.479280	0.479280	 55.402344	-18.921875	1014.605469
23/10/2024	13:29:26.032001	0.487268	0.487268	 55.347656	-18.843750	1014.613281
23/10/2024	13:29:26.039989	0.495256	0.495256	 55.535156	-18.671875	1014.570313
23/10/2024	13:29:26.047977	0.503244	0.503244	 55.394531	-18.707031	1014.667969
23/10/2024	13:29:26.055965	0.511232	0.511232	 55.386719	-18.789062	1014.613281
23/10/2024	13:29:26.063953	0.519220	0.519220	 55.312500	-18.636719	1014.695312
23/10/2024	13:29:26.071941	0.527208	0.527208	 55.390625	-18.765625	1014.511719
23/10/2024	13:29:26.079929	0.535196	0.535196	 55.316406	-18.757812	1014.601562
23/10/2024	13:29:26.087917	0.543184	0.543184	 55.417969	-18.847656	1014.710938
23/10/2024	13:29:26.095905	0.551172	0.551172	 55.320312	-18.753906	1014.562500
23/10/2024	13:29:26.103893	0.559160	0.559160	 55.492188	-18.628906	1014.898438
23/10/2024	13:29:26.111881	0.567148	0.567148	 55.484375	-18.781250	1014.886719
23/10/2024	13:29:26.119869	0.575136	0.575136	 55.441406	-18.710938	1014.675781
23/10/2024	13:29:26.127857	0.583124	0.583124	 55.433594	-18.746094	1014.425781
23/10/2024	13:29:26.135845	0.591112	0.591112	 55.324219	-18.820312	1014.609375
23/10/2024	13:29:26.143833	0.599100	0.599100	 55.195312	-18.734375	1014.644531
23/10/2024	13:29:26.151821	0.607088	0.607088	 55.210938	-18.738281	1014.871094
23/10/2024	13:29:26.159809	0.615076	0.615076	 55.273438	-18.828125	1014.777344
23/10/2024	13:29:26.167797	0.623064	0.623064	 55.382812	-18.910156	1014.886719
23/10/2024	13:29:26.175785	0.631052	0.631052	 55.535156	-18.769531	1014.679687
23/10/2024	13:29:26.183773	0.639040	0.639040	 55.503906	-18.925781	1014.750000
23/10/2024	13:29:26.191761	0.647028	0.647028	 55.550781	-18.824219	1014.828125
23/10/2024	13:29:26.199749	0.655016	0.655016	 55.300781	-18.859375	1014.738281
23/10/2024	13:29:26.207737	0.663004	0.663004	 55.507812	-18.910156	1014.722656
23/10/2024	13:29:26.215725	0.670992	0.670992	 55.371094	-18.894531	1014.718750
23/10/2024	13:29:26.223713	0.678980	0.678980	 55.417969	-18.722656	1014.667969
23/10/2024	13:29:26.231701	0.686968	0.686968	 55.375000	-18.769531	1014.757813
23/10/2024	13:29:26.239689	0.694956	0.694956	 55.339844	-18.968750	1014.507812
23/10/2024	13:29:26.247677	0.702944	0.702944	 55.312500	-18.839844	1014.781250
23/10/2024	13:29:26.255665	0.710932	0.710932	 55.453125	-18.863281	1014.488281
23/10/2024	13:29:26.263653	0.718920	0.718920	 55.242188	-18.808594	1014.621094
23/10/2024	13:29:26.271641	0.726908	0.726908	 55.417969	-18.902344	1014.535156
23/10/2024	13:29:26.279629	0.734896	0.734896	 55.535156	-18.777344	1014.640625
23/10/2024	13:29:26.287617	0.742884	0.742884	 55.503906	-18.906250	1014.644531
23/10/2024	13:29:26.295605	0.750872	0.750872	 55.515625	-18.699219	1014.695312
23/10/2024	13:29:26.303593	0.758860	0.758860	 55.488281	-18.714844	1014.570313
23/10/2024	13:29:26.311581	0.766848	0.766848	 55.566406	-18.855469	1014.730469
23/10/2024	13:29:26.319569	0.774836	0.774836	 55.425781	-18.875000	1014.906250
23/10/2024	13:29:26.327557	0.782824	0.782824	 55.492188	-18.773438	1014.898438
23/10/2024	13:29:26.335545	0.790812	0.790812	 55.402344	-18.769531	1014.675781
23/10/2024	13:29:26.343533	0.798800	0.798800	 55.355469	-18.664062	1014.707031
23/10/2024	13:29:26.351521	0.806788	0.806788	 55.332031	-18.679688	1014.734375
23/10/2024	13:29:26.359509	0.814776	0.814776	 55.503906	-18.777344	1014.796875
