Date	Time	Seconds (zeroed)	Seconds (synced)	Acc x	Acc y	Acc z
23/10/2024	13:36:55.546367	0.000000	6.001384	-63.820313	 13.566406	1014.835938
23/10/2024	13:36:55.554389	0.008022	6.009406	-63.785156	 13.515625	1014.468750
23/10/2024	13:36:55.562411	0.016044	6.017428	-63.839844	 13.699219	1014.324219
23/10/2024	13:36:55.570433	0.024066	6.025450	-63.914062	 13.609375	1014.441406
23/10/2024	13:36:55.578455	0.032088	6.033472	-63.941406	 13.515625	1014.390625
23/10/2024	13:36:55.586477	0.040110	6.041494	-63.863281	 13.519531	1014.464844
23/10/2024	13:36:55.594499	0.048132	6.049516	-63.769531	 13.652344	1014.328125
23/10/2024	13:36:55.602521	0.056154	6.057538	-63.902344	 13.511719	1014.160156
23/10/2024	13:36:55.610543	0.064176	6.065560	-63.933594	 13.562500	1014.027344
23/10/2024	13:36:55.618565	0.072198	6.073582	-63.839844	 13.410156	1014.355469
23/10/2024	13:36:55.626587	0.080220	6.081604	-63.773438	 13.386719	1014.558594
23/10/2024	13:36:55.634609	0.088242	6.089626	-63.761719	 13.675781	1014.605469
23/10/2024	13:36:55.642631	0.096264	6.097648	-63.839844	 13.699219	1014.613281
23/10/2024	13:36:55.650653	0.104286	6.105670	-63.757812	 13.777344	1014.597656
23/10/2024	13:36:55.658675	0.112308	6.113692	-63.992188	 13.683594	1014.519531
23/10/2024	13:36:55.666697	0.120330	6.121714	-63.933594	 13.542969	1014.414062
23/10/2024	13:36:55.674719	0.128352	6.129736	-63.769531	 13.527344	1014.367188
23/10/2024	13:36:55.682741	0.136374	6.137758	-63.839844	 13.519531	1013.992188
23/10/2024	13:36:55.690763	0.144396	6.145780	-63.937500	 13.566406	1013.847656
23/10/2024	13:36:55.698785	0.152418	6.153802	-63.921875	 13.449219	1014.363281
23/10/2024	13:36:55.706807	0.160440	6.161824	-63.968750	 13.660156	1014.554688
23/10/2024	13:36:55.714829	0.168462	6.169846	-63.968750	 13.640625	1014.640625
23/10/2024	13:36:55.722851	0.176484	6.177868	-64.050781	 13.695312	1014.609375
23/10/2024	13:36:55.730873	0.184506	6.185890	-63.750000	 13.703125	1014.562500
23/10/2024	13:36:55.738895	0.192528	6.193912	-63.789062	 13.625000	1014.382813
23/10/2024	13:36:55.746917	0.200550	6.201934	-63.828125	 13.496094	1014.437500
23/10/2024	13:36:55.754939	0.208572	6.209956	-63.843750	 13.582031	1014.507812
23/10/2024	13:36:55.762961	0.216594	6.217978	-63.859375	 13.601562	1014.503906
23/10/2024	13:36:55.770983	0.224616	6.226000	-63.851562	 13.605469	1014.367188
23/10/2024	13:36:55.779005	0.232638	6.234022	-63.734375	 13.539062	1013.976562
23/10/2024	13:36:55.787027	0.240660	6.242044	-63.792969	 13.414062	1014.425781
23/10/2024	13:36:55.795049	0.248682	6.250066	-63.628906	 13.269531	1014.554688
23/10/2024	13:36:55.803071	0.256704	6.258088	-63.628906	 13.578125	1014.558594
23/10/2024	13:36:55.811093	0.264726	6.266110	-64.003906	 13.656250	1014.890625
23/10/2024	13:36:55.819115	0.272748	6.274132	-63.785156	 13.664062	1014.648438
23/10/2024	13:36:55.827137	0.280770	6.282154	-63.816406	 13.515625	1014.605469
23/10/2024	13:36:55.835159	0.288792	6.290176	-63.972656	 13.593750	1014.472656
23/10/2024	13:36:55.843181	0.296814	6.298198	-63.781250	 13.519531	1014.507812
23/10/2024	13:36:55.851203	0.304836	6.306220	-64.023438	 13.539062	1014.503906
23/10/2024	13:36:55.859225	0.312858	6.314242	-63.945313	 13.539062	1014.332031
