Date	Time	Seconds (zeroed)	Seconds (synced)	Acc x	Acc y	Acc z
23/10/2024	13:29:26.543567	0.000000	0.998834	 55.460938	-36.925781	1004.316406
23/10/2024	13:29:26.551519	0.007952	1.006786	 55.480469	-36.789062	1004.496094
23/10/2024	13:29:26.559471	0.015904	1.014738	 55.355469	-36.746094	1004.605469
23/10/2024	13:29:26.567423	0.023856	1.022690	 55.464844	-36.800781	1004.312500
23/10/2024	13:29:26.575375	0.031808	1.030642	 55.593750	-36.742188	1004.300781
23/10/2024	13:29:26.583327	0.039760	1.038594	 55.675781	-36.789062	1004.265625
23/10/2024	13:29:26.591279	0.047712	1.046546	 55.492188	-36.738281	1004.218750
23/10/2024	13:29:26.599231	0.055664	1.054498	 55.550781	-36.808594	1004.527344
23/10/2024	13:29:26.607183	0.063616	1.062450	 55.460938	-36.699219	1004.253906
23/10/2024	13:29:26.615135	0.071568	1.070402	 55.535156	-36.750000	1004.453125
23/10/2024	13:29:26.623087	0.079520	1.078354	 55.429688	-36.628906	1004.367188
23/10/2024	13:29:26.631039	0.087472	1.086306	 55.554688	-36.687500	1004.238281
23/10/2024	13:29:26.638991	0.095424	1.094258	 55.699219	-36.742188	1004.218750
23/10/2024	13:29:26.646943	0.103376	1.102210	 55.542969	-36.667969	1004.390625
23/10/2024	13:29:26.654895	0.111328	1.110162	 55.726562	-36.714844	1004.488281
23/10/2024	13:29:26.662847	0.119280	1.118114	 55.707031	-36.656250	1004.222656
23/10/2024	13:29:26.670799	0.127232	1.126066	 55.574219	-36.796875	1004.328125
23/10/2024	13:29:26.678751	0.135184	1.134018	 55.535156	-36.593750	1004.695312
23/10/2024	13:29:26.686703	0.143136	1.141970	 55.796875	-36.542969	1004.386719
23/10/2024	13:29:26.694655	0.151088	1.149922	 55.566406	-36.613281	1004.292969
23/10/2024	13:29:26.702607	0.159040	1.157874	 55.617188	-36.753906	1004.289062
23/10/2024	13:29:26.710559	0.166992	1.165826	 55.625000	-36.613281	1004.464844
23/10/2024	13:29:26.718511	0.174944	1.173778	 55.531250	-36.570312	1004.503906
23/10/2024	13:29:26.726463	0.182896	1.181730	 55.535156	-36.632812	1004.613281
23/10/2024	13:29:26.734415	0.190848	1.189682	 55.527344	-36.734375	1004.394531
23/10/2024	13:29:26.742367	0.198800	1.197634	 55.644531	-36.554688	1004.269531
23/10/2024	13:29:26.750319	0.206752	1.205586	 55.660156	-36.632812	1004.386719
23/10/2024	13:29:26.758271	0.214704	1.213538	 55.566406	-36.785156	1004.652344
23/10/2024	13:29:26.766223	0.222656	1.221490	 55.441406	-36.656250	1004.613281
23/10/2024	13:29:26.774175	0.230608	1.229442	 55.691406	-36.656250	1004.574219
23/10/2024	13:29:26.782127	0.238560	1.237394	 55.667969	-36.578125	1004.574219
23/10/2024	13:29:26.790079	0.246512	1.245346	 55.640625	-36.585938	1004.281250
23/10/2024	13:29:26.798031	0.254464	1.253298	 55.710938	-36.652344	1004.386719
23/10/2024	13:29:26.805983	0.262416	1.261250	 55.546875	-36.781250	1004.621094
23/10/2024	13:29:26.813935	0.270368	1.269202	 55.589844	-36.531250	1004.496094
23/10/2024	13:29:26.821887	0.278320	1.277154	 55.609375	-36.500000	1004.597656
23/10/2024	13:29:26.829839	0.286272	1.285106	 55.628906	-36.808594	1004.468750
23/10/2024	13:29:26.837791	0.294224	1.293058	 55.699219	-36.832031	1004.640625
23/10/2024	13:29:26.845743	0.302176	1.301010	 55.628906	-36.679688	1004.445312
23/10/2024	13:29:26.853695	0.310128	1.308962	 55.839844	-36.882812	1004.484375
23/10/2024	13:29:26.861647	0.318080	1.316914	 55.671875	-36.765625	1004.660156
23/10/2024	13:29:26.869599	0.326032	1.324866	 55.546875	-36.660156	1004.402344
23/10/2024	13:29:26.877551	0.333984	1.332818	 55.621094	-36.785156	1004.605469
23/10/2024	13:29:26.885503	0.341936	1.340770	 55.421875	-36.777344	1004.511719
23/10/2024	13:29:26.893455	0.349888	1.348722	 55.527344	-36.750000	1004.515625
23/10/2024	13:29:26.901407	0.357840	1.356674	 55.632812	-36.832031	1004.539062
