Date	Time	Seconds (zeroed)	Seconds (synced)	Acc x	Acc y	Acc z
23/10/2024	13:36:53.545517	0.000000	4.000534	-62.410156	-26.679688	1001.945312
23/10/2024	13:36:53.553520	0.008003	4.008537	-62.480469	-26.507812	1001.992188
23/10/2024	13:36:53.561523	0.016006	4.016540	-62.308594	-26.535156	1001.621094
23/10/2024	13:36:53.569526	0.024009	4.024543	-62.453125	-26.699219	1001.773438
23/10/2024	13:36:53.577529	0.032012	4.032546	-62.347656	-26.730469	1001.988281
23/10/2024	13:36:53.585532	0.040015	4.040549	-62.324219	-26.832031	1002.039062
23/10/2024	13:36:53.593535	0.048018	4.048552	-62.273438	-26.667969	1001.707031
23/10/2024	13:36:53.601538	0.056021	4.056555	-62.519531	-26.519531	1002.136719
23/10/2024	13:36:53.609541	0.064024	4.064558	-62.429688	-26.695312	1001.753906
23/10/2024	13:36:53.617544	0.072027	4.072561	-62.316406	-26.671875	1002.074219
23/10/2024	13:36:53.625547	0.080030	4.080564	-62.406250	-26.632812	1001.792969
23/10/2024	13:36:53.633550	0.088033	4.088567	-62.617188	-26.539062	1002.035156
23/10/2024	13:36:53.641553	0.096036	4.096570	-62.468750	-26.683594	1001.925781
23/10/2024	13:36:53.649556	0.104039	4.104573	-62.406250	-26.535156	1002.269531
23/10/2024	13:36:53.657559	0.112042	4.112576	-62.441406	-26.375000	1001.753906
23/10/2024	13:36:53.665562	0.120045	4.120579	-62.390625	-26.453125	1002.062500
23/10/2024	13:36:53.673565	0.128048	4.128582	-62.324219	-26.628906	1001.707031
23/10/2024	13:36:53.681568	0.136051	4.136585	-62.402344	-26.656250	1002.000000
23/10/2024	13:36:53.689571	0.144054	4.144588	-62.371094	-26.753906	1001.886719
23/10/2024	13:36:53.697574	0.152057	4.152591	-62.578125	-26.679688	1002.078125
23/10/2024	13:36:53.705577	0.160060	4.160594	-62.406250	-26.660156	1001.972656
23/10/2024	13:36:53.713580	0.168063	4.168597	-62.371094	-26.707031	1001.828125
23/10/2024	13:36:53.721583	0.176066	4.176600	-62.585937	-26.710938	1001.937500
23/10/2024	13:36:53.729586	0.184069	4.184603	-62.371094	-26.527344	1002.128906
23/10/2024	13:36:53.737589	0.192072	4.192606	-62.355469	-26.578125	1001.964844
23/10/2024	13:36:53.745592	0.200075	4.200609	-62.417969	-26.667969	1001.980469
23/10/2024	13:36:53.753595	0.208078	4.208612	-62.484375	-26.660156	1002.132812
23/10/2024	13:36:53.761598	0.216081	4.216615	-62.503906	-26.691406	1002.261719
23/10/2024	13:36:53.769601	0.224084	4.224618	-62.355469	-26.796875	1002.121094
23/10/2024	13:36:53.777604	0.232087	4.232621	-62.332031	-26.796875	1002.011719
23/10/2024	13:36:53.785607	0.240090	4.240624	-62.371094	-26.667969	1001.835938
23/10/2024	13:36:53.793610	0.248093	4.248627	-62.476562	-26.546875	1002.023437
23/10/2024	13:36:53.801613	0.256096	4.256630	-62.179688	-26.566406	1002.082031
23/10/2024	13:36:53.809616	0.264099	4.264633	-62.437500	-26.566406	1001.953125
23/10/2024	13:36:53.817619	0.272102	4.272636	-62.261719	-26.816406	1001.945312
23/10/2024	13:36:53.825622	0.280105	4.280639	-62.316406	-26.703125	1002.230469
23/10/2024	13:36:53.833625	0.288108	4.288642	-62.402344	-26.613281	1001.945312
23/10/2024	13:36:53.841628	0.296111	4.296645	-62.328125	-26.515625	1002.125000
23/10/2024	13:36:53.849631	0.304114	4.304648	-62.371094	-26.730469	1002.222656
23/10/2024	13:36:53.857634	0.312117	4.312651	-62.476562	-26.656250	1002.054688
23/10/2024	13:36:53.865637	0.320120	4.320654	-62.406250	-26.632812	1001.921875
23/10/2024	13:36:53.873640	0.328123	4.328657	-62.449219	-26.527344	1002.257812
23/10/2024	13:36:53.881643	0.336126	4.336660	-62.453125	-26.777344	1002.035156
23/10/2024	13:36:53.889646	0.344129	4.344663	-62.328125	-26.726562	1002.191406
23/10/2024	13:36:53.897649	0.352132	4.352666	-62.347656	-26.703125	1002.140625
23/10/2024	13:36:53.905652	0.360135	4.360669	-62.566406	-26.652344	1002.003906
