Date	Time	Seconds (zeroed)	Seconds (synced)	Acc x	Acc y	Acc z
23/10/2024	13:36:54.547250	0.000000	5.002267	-60.480469	-54.519531	986.832031
23/10/2024	13:36:54.555281	0.008031	5.010298	-60.578125	-54.710938	986.515625
23/10/2024	13:36:54.563312	0.016062	5.018329	-60.582031	-54.609375	987.148438
23/10/2024	13:36:54.571343	0.024093	5.026360	-60.554688	-54.531250	987.347656
23/10/2024	13:36:54.579374	0.032124	5.034391	-60.613281	-54.597656	987.054688
23/10/2024	13:36:54.587405	0.040155	5.042422	-60.593750	-54.593750	986.789062
23/10/2024	13:36:54.595436	0.048186	5.050453	-60.558594	-54.632812	987.238281
23/10/2024	13:36:54.603467	0.056217	5.058484	-60.445312	-54.726562	987.015625
23/10/2024	13:36:54.611498	0.064248	5.066515	-60.640625	-54.617188	986.945312
23/10/2024	13:36:54.619529	0.072279	5.074546	-60.718750	-54.546875	987.136719
23/10/2024	13:36:54.627560	0.080310	5.082577	-60.703125	-54.554688	987.085938
23/10/2024	13:36:54.635591	0.088341	5.090608	-60.625000	-54.773438	987.027344
23/10/2024	13:36:54.643622	0.096372	5.098639	-60.339844	-54.785156	987.132812
23/10/2024	13:36:54.651653	0.104403	5.106670	-60.128906	-54.675781	987.468750
23/10/2024	13:36:54.659684	0.112434	5.114701	-60.402344	-54.656250	987.351562
23/10/2024	13:36:54.667715	0.120465	5.122732	-60.597656	-54.585938	987.121094
23/10/2024	13:36:54.675746	0.128496	5.130763	-60.609375	-54.734375	987.292969
23/10/2024	13:36:54.683777	0.136527	5.138794	-60.671875	-54.621094	987.207031
23/10/2024	13:36:54.691808	0.144558	5.146825	-60.570312	-54.554688	986.953125
23/10/2024	13:36:54.699839	0.152589	5.154856	-60.402344	-54.570312	987.144531
23/10/2024	13:36:54.707870	0.160620	5.162887	-60.453125	-54.824219	986.898438
23/10/2024	13:36:54.715901	0.168651	5.170918	-60.542969	-54.882812	987.144531
23/10/2024	13:36:54.723932	0.176682	5.178949	-60.566406	-54.789062	987.601562
23/10/2024	13:36:54.731963	0.184713	5.186980	-60.460938	-54.695312	987.632812
23/10/2024	13:36:54.739994	0.192744	5.195011	-60.531250	-54.699219	987.382812
23/10/2024	13:36:54.748025	0.200775	5.203042	-60.355469	-54.691406	987.121094
23/10/2024	13:36:54.756056	0.208806	5.211073	-60.273438	-54.675781	986.769531
23/10/2024	13:36:54.764087	0.216837	5.219104	-60.292969	-54.542969	986.972656
23/10/2024	13:36:54.772118	0.224868	5.227135	-60.687500	-54.402344	986.929688
23/10/2024	13:36:54.780149	0.232899	5.235166	-60.660156	-54.550781	987.117188
23/10/2024	13:36:54.788180	0.240930	5.243197	-60.554688	-54.535156	987.406250
23/10/2024	13:36:54.796211	0.248961	5.251228	-60.554688	-54.695312	987.328125
23/10/2024	13:36:54.804242	0.256992	5.259259	-60.406250	-54.718750	987.156250
23/10/2024	13:36:54.812273	0.265023	5.267290	-60.460938	-54.785156	987.285156
