Date	Time	Seconds (zeroed)	Seconds (synced)	Acc x	Acc y	Acc z
23/10/2024	13:29:30.547017	0.000000	5.002284	-60.503906	-54.550781	986.902344
23/10/2024	13:29:30.555049	0.008032	5.010316	-60.468750	-54.574219	986.945312
23/10/2024	13:29:30.563081	0.016064	5.018348	-60.312500	-54.542969	987.199219
23/10/2024	13:29:30.571113	0.024096	5.026380	-60.578125	-54.660156	987.117188
23/10/2024	13:29:30.579145	0.032128	5.034412	-60.417969	-54.585938	987.183594
23/10/2024	13:29:30.587177	0.040160	5.042444	-60.359375	-54.667969	987.046875
23/10/2024	13:29:30.595209	0.048192	5.050476	-60.414062	-54.609375	987.035156
23/10/2024	13:29:30.603241	0.056224	5.058508	-60.578125	-54.597656	987.230469
23/10/2024	13:29:30.611273	0.064256	5.066540	-60.542969	-54.578125	987.054688
23/10/2024	13:29:30.619305	0.072288	5.074572	-60.406250	-54.621094	987.113281
23/10/2024	13:29:30.627337	0.080320	5.082604	-60.296875	-54.734375	987.011719
23/10/2024	13:29:30.635369	0.088352	5.090636	-60.273438	-54.730469	987.117188
23/10/2024	13:29:30.643401	0.096384	5.098668	-60.382812	-54.687500	987.128906
23/10/2024	13:29:30.651433	0.104416	5.106700	-60.488281	-54.593750	987.187500
23/10/2024	13:29:30.659465	0.112448	5.114732	-60.609375	-54.769531	987.117188
23/10/2024	13:29:30.667497	0.120480	5.122764	-60.355469	-54.726562	986.925781
23/10/2024	13:29:30.675529	0.128512	5.130796	-60.480469	-54.511719	986.906250
23/10/2024	13:29:30.683561	0.136544	5.138828	-60.578125	-54.460938	986.976562
23/10/2024	13:29:30.691593	0.144576	5.146860	-60.605469	-54.746094	987.167969
23/10/2024	13:29:30.699625	0.152608	5.154892	-60.375000	-54.781250	987.015625
23/10/2024	13:29:30.707657	0.160640	5.162924	-60.500000	-54.730469	987.218750
23/10/2024	13:29:30.715689	0.168672	5.170956	-60.503906	-54.601562	987.097656
23/10/2024	13:29:30.723721	0.176704	5.178988	-60.644531	-54.687500	987.171875
23/10/2024	13:29:30.731753	0.184736	5.187020	-60.500000	-54.781250	987.242188
23/10/2024	13:29:30.739785	0.192768	5.195052	-60.617188	-54.765625	987.132812
23/10/2024	13:29:30.747817	0.200800	5.203084	-60.640625	-54.640625	987.164062
23/10/2024	13:29:30.755849	0.208832	5.211116	-60.347656	-54.699219	986.941406
23/10/2024	13:29:30.763881	0.216864	5.219148	-60.519531	-54.703125	987.148438
23/10/2024	13:29:30.771913	0.224896	5.227180	-60.671875	-54.687500	987.214844
23/10/2024	13:29:30.779945	0.232928	5.235212	-60.496094	-54.703125	987.144531
23/10/2024	13:29:30.787977	0.240960	5.243244	-60.558594	-54.742188	987.273438
23/10/2024	13:29:30.796009	0.248992	5.251276	-60.613281	-54.722656	987.175781
23/10/2024	13:29:30.804041	0.257024	5.259308	-60.617188	-54.683594	987.156250
23/10/2024	13:29:30.812073	0.265056	5.267340	-60.699219	-54.550781	987.386719
