Date	Time	Acc x	Acc y	Acc z
30/04/2024	19:57:13.237916	-0.006840	0.013984	1.003504
30/04/2024	19:57:13.245893	-0.006910	0.014164	1.003574
30/04/2024	19:57:13.253870	-0.006898	0.014152	1.003812
30/04/2024	19:57:13.261847	-0.006957	0.014047	1.003723
30/04/2024	19:57:13.269824	-0.007016	0.014137	1.003387
30/04/2024	19:57:13.277801	-0.006777	0.014129	1.003973
30/04/2024	19:57:13.285778	-0.006598	0.014008	1.003695
30/04/2024	19:57:13.293755	-0.006832	0.013891	1.003453
30/04/2024	19:57:13.301732	-0.006938	0.014168	1.003520
30/04/2024	19:57:13.309709	-0.006910	0.014008	1.003418
30/04/2024	19:57:13.317686	-0.007086	0.013984	1.003320
30/04/2024	19:57:13.325663	-0.007016	0.014102	1.003723
30/04/2024	19:57:13.333640	-0.006816	0.014133	1.003492
30/04/2024	19:57:13.341617	-0.006793	0.014031	1.003375
30/04/2024	19:57:13.349594	-0.006801	0.013918	1.003559
30/04/2024	19:57:13.357571	-0.007074	0.013832	1.003574
30/04/2024	19:57:13.365548	-0.006988	0.014078	1.003629
30/04/2024	19:57:13.373525	-0.007000	0.014039	1.003496
30/04/2024	19:57:13.381502	-0.006891	0.014031	1.003688
30/04/2024	19:57:13.389479	-0.006797	0.014250	1.003434
30/04/2024	19:57:13.397456	-0.006820	0.014324	1.003348
30/04/2024	19:57:13.405433	-0.007234	0.014234	1.003453
30/04/2024	19:57:13.413410	-0.006965	0.014215	1.003602
30/04/2024	19:57:13.421387	-0.007082	0.014277	1.003156
30/04/2024	19:57:13.429364	-0.007086	0.014230	1.003738
30/04/2024	19:57:13.437341	-0.006984	0.014109	1.003680
30/04/2024	19:57:13.445318	-0.006992	0.014324	1.003676
30/04/2024	19:57:13.453295	-0.006852	0.014281	1.003215
30/04/2024	19:57:13.461272	-0.006730	0.014207	1.003242
30/04/2024	19:57:13.469249	-0.006883	0.014195	1.003504
30/04/2024	19:57:13.477226	-0.006949	0.014313	1.003879
30/04/2024	19:57:13.485203	-0.007000	0.014246	1.003387
30/04/2024	19:57:13.493180	-0.006996	0.014203	1.003633
30/04/2024	19:57:13.501157	-0.006840	0.014316	1.003270
30/04/2024	19:57:13.509134	-0.006742	0.014227	1.003062
30/04/2024	19:57:13.517111	-0.006785	0.014113	1.003262
30/04/2024	19:57:13.525088	-0.006848	0.014180	1.003824
30/04/2024	19:57:13.533065	-0.006898	0.014336	1.003113
30/04/2024	19:57:13.541042	-0.006828	0.014266	1.003465
30/04/2024	19:57:13.549027	-0.007145	0.014023	1.003195
30/04/2024	19:57:13.557004	-0.006906	0.014027	1.003469
30/04/2024	19:57:13.564981	-0.006766	0.014086	1.003078
30/04/2024	19:57:13.572958	-0.006754	0.014117	1.003660
30/04/2024	19:57:13.580935	-0.006609	0.014293	1.003812
30/04/2024	19:57:13.588912	-0.006742	0.014238	1.004117
30/04/2024	19:57:13.596889	-0.006801	0.014121	1.003566
30/04/2024	19:57:13.604866	-0.007031	0.013867	1.003574
30/04/2024	19:57:13.612843	-0.007023	0.013836	1.003246
30/04/2024	19:57:13.620820	-0.006996	0.013836	1.003621
30/04/2024	19:57:13.628797	-0.006719	0.013926	1.003207
30/04/2024	19:57:13.636774	-0.006789	0.013949	1.003664
30/04/2024	19:57:13.644751	-0.006844	0.014102	1.003961
30/04/2024	19:57:13.652728	-0.006852	0.014152	1.003762
30/04/2024	19:57:13.660705	-0.006957	0.013949	1.003301
30/04/2024	19:57:13.668682	-0.007117	0.013789	1.003562
30/04/2024	19:57:13.676659	-0.006945	0.013941	1.003227
30/04/2024	19:57:13.684636	-0.006953	0.013828	1.003625
30/04/2024	19:57:13.692613	-0.006895	0.013855	1.003352
30/04/2024	19:57:13.700590	-0.006988	0.013840	1.003398
30/04/2024	19:57:13.708567	-0.006957	0.013926	1.002996
30/04/2024	19:57:13.716544	-0.006918	0.014082	1.003547
30/04/2024	19:57:13.724521	-0.006891	0.014324	1.003246
30/04/2024	19:57:13.732498	-0.006848	0.014254	1.003758
30/04/2024	19:57:13.740475	-0.006758	0.014109	1.003371
30/04/2024	19:57:13.748452	-0.006895	0.014125	1.003371
30/04/2024	19:57:13.756429	-0.006730	0.014184	1.002742
30/04/2024	19:57:13.764406	-0.006973	0.014305	1.003230
30/04/2024	19:57:13.772383	-0.006980	0.014238	1.003273
30/04/2024	19:57:13.780360	-0.007137	0.014465	1.003781
30/04/2024	19:57:13.788337	-0.006879	0.014512	1.003625
30/04/2024	19:57:13.796314	-0.006852	0.014336	1.003473
30/04/2024	19:57:13.804291	-0.006812	0.014023	1.003160
30/04/2024	19:57:13.812268	-0.006832	0.014102	1.003242
30/04/2024	19:57:13.820245	-0.006895	0.014125	1.003043
30/04/2024	19:57:13.828222	-0.006895	0.014191	1.003414
30/04/2024	19:57:13.836199	-0.006949	0.014434	1.003598
30/04/2024	19:57:13.844176	-0.007117	0.014219	1.003562
30/04/2024	19:57:13.852153	-0.006852	0.014113	1.003234
30/04/2024	19:57:13.860130	-0.007051	0.014059	1.003160
