Date	Time	Seconds (zeroed)	Seconds (synced)	Acc x	Acc y	Acc z
23/10/2024	13:29:27.542150	0.000000	1.997417	 52.820312	 -7.644531	998.617188
23/10/2024	13:29:27.550091	0.007941	2.005358	 52.796875	 -7.660156	998.613281
23/10/2024	13:29:27.558032	0.015882	2.013299	 52.917969	 -7.480469	998.734375
23/10/2024	13:29:27.565973	0.023823	2.021240	 53.035156	 -7.539062	998.664062
23/10/2024	13:29:27.573914	0.031764	2.029181	 52.964844	 -7.460938	998.503906
23/10/2024	13:29:27.581855	0.039705	2.037122	 52.906250	 -7.476562	998.355469
23/10/2024	13:29:27.589796	0.047646	2.045063	 52.871094	 -7.468750	998.507812
23/10/2024	13:29:27.597737	0.055587	2.053004	 52.902344	 -7.519531	998.578125
23/10/2024	13:29:27.605678	0.063528	2.060945	 52.917969	 -7.695312	998.636719
23/10/2024	13:29:27.613619	0.071469	2.068886	 53.007812	 -7.656250	998.597656
23/10/2024	13:29:27.621560	0.079410	2.076827	 53.046875	 -7.574219	998.359375
23/10/2024	13:29:27.629501	0.087351	2.084768	 53.191406	 -7.578125	998.597656
23/10/2024	13:29:27.637442	0.095292	2.092709	 53.007812	 -7.601562	998.773438
23/10/2024	13:29:27.645383	0.103233	2.100650	 52.933594	 -7.597656	998.609375
23/10/2024	13:29:27.653324	0.111174	2.108591	 53.070312	 -7.500000	998.800781
23/10/2024	13:29:27.661265	0.119115	2.116532	 52.886719	 -7.609375	998.496094
23/10/2024	13:29:27.669206	0.127056	2.124473	 52.972656	 -7.601562	998.671875
23/10/2024	13:29:27.677147	0.134997	2.132414	 53.015625	 -7.535156	998.859375
23/10/2024	13:29:27.685088	0.142938	2.140355	 52.937500	 -7.519531	998.902344
23/10/2024	13:29:27.693029	0.150879	2.148296	 52.871094	 -7.500000	998.988281
23/10/2024	13:29:27.700970	0.158820	2.156237	 52.917969	 -7.480469	998.746094
23/10/2024	13:29:27.708911	0.166761	2.164178	 52.910156	 -7.460938	998.726562
23/10/2024	13:29:27.716852	0.174702	2.172119	 52.960938	 -7.597656	998.691406
23/10/2024	13:29:27.724793	0.182643	2.180060	 53.054688	 -7.718750	998.941406
23/10/2024	13:29:27.732734	0.190584	2.188001	 52.957031	 -7.488281	998.765625
23/10/2024	13:29:27.740675	0.198525	2.195942	 52.968750	 -7.492188	998.656250
23/10/2024	13:29:27.748616	0.206466	2.203883	 53.042969	 -7.585938	998.593750
23/10/2024	13:29:27.756557	0.214407	2.211824	 53.023438	 -7.625000	998.582031
23/10/2024	13:29:27.764498	0.222348	2.219765	 52.921875	 -7.453125	998.828125
23/10/2024	13:29:27.772439	0.230289	2.227706	 52.996094	 -7.535156	998.800781
23/10/2024	13:29:27.780380	0.238230	2.235647	 53.039062	 -7.421875	998.648438
23/10/2024	13:29:27.788321	0.246171	2.243588	 52.984375	 -7.476562	998.417969
23/10/2024	13:29:27.796262	0.254112	2.251529	 53.054688	 -7.304688	998.750000
23/10/2024	13:29:27.804203	0.262053	2.259470	 52.898438	 -7.445312	998.660156
23/10/2024	13:29:27.812144	0.269994	2.267411	 53.027344	 -7.437500	998.445312
23/10/2024	13:29:27.820085	0.277935	2.275352	 53.003906	 -7.367188	998.582031
23/10/2024	13:29:27.828026	0.285876	2.283293	 52.859375	 -7.437500	998.707031
23/10/2024	13:29:27.835967	0.293817	2.291234	 52.839844	 -7.390625	998.851562
23/10/2024	13:29:27.843908	0.301758	2.299175	 53.007812	 -7.507812	998.511719
23/10/2024	13:29:27.851849	0.309699	2.307116	 52.968750	 -7.535156	998.726562
23/10/2024	13:29:27.859790	0.317640	2.315057	 52.914062	 -7.457031	998.707031
